Token ID	Source Token	Source Lemma	Source POS	Target POS	Translated Token	Translated Lemma	Synset ID	Link in Dictionary?	POS Match?	Target Sentence	Source Sentence
wf	U.N.	u.n.	 	 	 	 
d000.s000.s000	group	group	n	x(x)	समूह	समूह	bn:00041942n	False	FALSE	यू.एन.टि. समूह मसौदा योजना ताकि उत्सर्जन कम हो सके	U.N. group drafts plan to reduce emissions
wf	drafts	draft	 	 	 	 
d000.s000.s001	plan	plan	n	x(x)	योजना	योजना	bn:00062759n	False	FALSE	यू.एन.टि. समूह मसौदा योजना ताकि उत्सर्जन कम हो सके	U.N. group drafts plan to reduce emissions
wf	to	to	 	 	 	 
wf	reduce	reduce	 	 	 	 
d000.s000.s002	emissions	emission	n	x(x)	उत्सर्जन	उत्सर्जन	bn:00027473n	False	FALSE	यू.एन.टि. समूह मसौदा योजना ताकि उत्सर्जन कम हो सके	U.N. group drafts plan to reduce emissions
wf	The	the	 	 	 	 
wf	U.N.-sponsored	u.n.-sponsored	 	 	 	 
d000.s001.s000	climate	climate	n	x(x)	जलवायु	जलवायु	bn:00019780n	False	FALSE	U.N.N-N के जलवायु सम्मेलन की विशेषता इतनी दूर तक अनियंत्रित पोस्टिंग और आपसी पुनर्वास - - एक दस्तावेज़ के रिलीज़ के साथ शुक्रवार को फिर से केंद्रित किया अगले 40 वर्षों के दौरान, अमीर राष्ट्रों के दबाव का सामना करने के लिए पिछले 40 साल के दौरान.	The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .
d000.s001.s001	conference	conference	n	x(x)	सम्मेलन	सम्मेलन	bn:00021721n	False	FALSE	U.N.N-N के जलवायु सम्मेलन की विशेषता इतनी दूर तक अनियंत्रित पोस्टिंग और आपसी पुनर्वास - - एक दस्तावेज़ के रिलीज़ के साथ शुक्रवार को फिर से केंद्रित किया अगले 40 वर्षों के दौरान, अमीर राष्ट्रों के दबाव का सामना करने के लिए पिछले 40 साल के दौरान.	The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .
wf	--	--	 	 	 	 
wf	characterized	characterize	 	 	 	 
wf	so	so	 	 	 	 
wf	far	far	 	 	 	 
wf	by	by	 	 	 	 
wf	unruly	unruly	 	 	 	 
